,frame_id,time,data,dlc,flags,msg_name,msg_comment,signals
0,37,1,bytearray(b'\x00\x05 \x03\xc0\x00\x00\x15'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
1,37,11,bytearray(b'\x00\x05 \x03\xc0\x00\x00\x15'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
2,37,21,bytearray(b'\x00\x05 \x03\xc0\x00\x00\x15'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
3,705,31,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
4,37,32,bytearray(b'\x00\x05 \x03\xc0\x00\x00\x15'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
5,37,41,bytearray(b'\x00\x05 \x03\xc0\x00\x00\x15'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
6,37,52,bytearray(b'\x00\x05 \x03\xc0\x00\x00\x15'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
7,37,61,bytearray(b'\x00\x05 \x03\xc0\x00\x00\x15'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
8,705,62,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
9,37,72,bytearray(b'\x00\x05 \x03\xc0\x00\x00\x15'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
10,37,81,bytearray(b'\x00\x05 \x03\xc0\x00\x00\x15'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
11,37,91,bytearray(b'\x00\x05 \x03\xc0\x00\x00\x15'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
12,705,94,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
13,37,102,bytearray(b'\x00\x05 \x03\xb0\x00\x00\x05'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
14,37,111,bytearray(b'\x00\x05 \x03\xc0\x00\x00\x15'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
