,time,frame_id,msg_name,signals
0,4,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 229.5, 'deg']]"
1,14,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 228.0, 'deg']]"
2,25,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 225.0, 'deg']]"
3,31,705,ENG1S01,"[['EACCP', 0.0, '%']]"
4,34,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 223.5, 'deg']]"
5,41,832,ENG1S05,"[['WSTL', 1.0, ''], ['VNCC', 0.0, 'km/h']]"
6,44,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 222.0, 'deg']]"
7,54,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 220.5, 'deg']]"
8,62,705,ENG1S01,"[['EACCP', 0.0, '%']]"
9,65,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 219.0, 'deg']]"
10,74,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 217.5, 'deg']]"
11,84,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 216.0, 'deg']]"
12,89,832,ENG1S05,"[['WSTL', 1.0, ''], ['VNCC', 0.0, 'km/h']]"
13,94,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 214.5, 'deg']]"
14,95,705,ENG1S01,"[['EACCP', 0.0, '%']]"
15,105,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 213.0, 'deg']]"
16,114,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 211.5, 'deg']]"
17,124,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 210.0, 'deg']]"
18,126,705,ENG1S01,"[['EACCP', 0.0, '%']]"
19,134,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 208.5, 'deg']]"
20,137,832,ENG1S05,"[['WSTL', 1.0, ''], ['VNCC', 0.0, 'km/h']]"
21,145,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 207.0, 'deg']]"
22,154,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 205.5, 'deg']]"
23,158,705,ENG1S01,"[['EACCP', 0.0, '%']]"
24,164,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 204.0, 'deg']]"
25,174,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 202.5, 'deg']]"
26,185,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 201.0, 'deg']]"
27,185,832,ENG1S05,"[['WSTL', 1.0, ''], ['VNCC', 0.0, 'km/h']]"
28,189,705,ENG1S01,"[['EACCP', 0.0, '%']]"
29,194,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 199.5, 'deg']]"
30,204,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 198.0, 'deg']]"
31,214,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 196.5, 'deg']]"
32,221,705,ENG1S01,"[['EACCP', 0.0, '%']]"
33,225,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 195.0, 'deg']]"
34,234,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 193.5, 'deg']]"
35,234,832,ENG1S05,"[['WSTL', 1.0, ''], ['VNCC', 0.0, 'km/h']]"
36,244,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 192.0, 'deg']]"
37,253,705,ENG1S01,"[['EACCP', 0.0, '%']]"
38,254,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 190.5, 'deg']]"
39,265,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 189.0, 'deg']]"
40,274,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 187.5, 'deg']]"
41,281,832,ENG1S05,"[['WSTL', 1.0, ''], ['VNCC', 0.0, 'km/h']]"
42,284,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 187.5, 'deg']]"
43,285,705,ENG1S01,"[['EACCP', 0.0, '%']]"
44,294,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 186.0, 'deg']]"
45,305,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 183.0, 'deg']]"
46,314,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 181.5, 'deg']]"
47,316,705,ENG1S01,"[['EACCP', 0.0, '%']]"
48,324,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 180.0, 'deg']]"
49,330,832,ENG1S05,"[['WSTL', 1.0, ''], ['VNCC', 0.0, 'km/h']]"
50,334,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 178.5, 'deg']]"
51,345,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 177.0, 'deg']]"
52,348,705,ENG1S01,"[['EACCP', 0.0, '%']]"
53,355,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 175.5, 'deg']]"
54,364,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 174.0, 'deg']]"
55,374,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 172.5, 'deg']]"
56,378,832,ENG1S05,"[['WSTL', 1.0, ''], ['VNCC', 0.0, 'km/h']]"
57,380,705,ENG1S01,"[['EACCP', 0.0, '%']]"
58,385,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 169.5, 'deg']]"
59,394,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 168.0, 'deg']]"
60,404,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 166.5, 'deg']]"
61,412,705,ENG1S01,"[['EACCP', 0.0, '%']]"
